1 2 3 5
2 3 4 6
3 4 5 7
4 5 6 8
5 6 7 9
6 7 8 0
7 8 9 9
8 9 0 8
9 0 9 7
0 9 8 6
4 5 6 9
7 8 9 3
4 1 2 6
0 2 3 6
0 0 0 0
4 5 6 9
4 7 8 5
1 2 3 3
1 1 1 1
9 8 7 4
5 6 9 8
5 7 8 9
1 4 7 1
0 1 0 1
2 5 8 7
2 6 9 3
5 6 9 8
5 7 8 9
1 4 7 1
0 1 0 1
2 5 8 7
2 6 9 3
2 7 1 1
2 8 0 0
2 9 7 4
3 0 2 0
5 6 9 8
5 7 8 9
1 4 7 1
0 1 0 1
2 5 8 7
2 6 9 3
5 6 9 8
5 7 8 9
1 4 7 1
0 1 0 1
1 2 3 5
2 3 4 6
3 4 5 7
4 5 6 8
5 6 7 9
6 7 8 0
3 5 6 7
0 9 8 7
5 4 7 8
9 6 2 1
7 4 1 0
1 2 3 6
4 1 4 1
0 1 0 2
0 0 0 1
0 0 0 3
0 2 3 6
4 5 1 0
4 5 6 9
7 7 7 7
4 4 4 4


