J_Dz(e)   nHM   F04[C-N]   C%   nCp   nArNO2   nCRX3   SpPosA_B(p)   nCIR   TI2_L   nCrt   SpMax_B(m)   nArCOOR   V1
2.6909 ,0 ,0 ,31.4 ,2 ,0 ,0 ,1.201 ,0 ,4.489 ,0 ,2.949 ,0   RB
2.1144 ,0 ,0 ,30.8 ,1 ,0 ,0 ,1.104 ,1 ,1.542 ,0 ,3.315 ,0   RB
3.2512 ,0 ,0 ,26.7 ,2 ,0 ,0 ,1.092 ,0 ,4.891 ,0 ,3.076 ,0   RB
2.7098 ,0 ,0 ,20 ,0 ,0 ,0 ,1.024 ,0 ,1.333 ,0 ,3.046 ,0   RB
3.3944 ,0 ,0 ,29.4 ,2 ,0 ,0 ,1.137 ,0 ,5.588 ,0 ,3.351 ,0   RB
3.4286 ,0 ,0 ,28.6 ,2 ,0 ,0 ,1.119 ,0 ,4.746 ,0 ,3.351 ,0   RB
5.0476 ,1 ,0 ,11.1 ,0 ,0 ,0 ,1.125 ,0 ,0.8 ,0 ,4.712 ,0   RB
3.8301 ,0 ,0 ,31.6 ,3 ,0 ,0 ,1.179 ,0 ,3.889 ,0 ,3.379 ,0   RB
2.7414 ,0 ,0 ,52.9 ,0 ,0 ,0 ,1.279 ,3 ,1.207 ,0 ,3.767 ,0   RB
2.6272 ,0 ,0 ,30 ,3 ,0 ,0 ,1.213 ,0 ,2.052 ,0 ,2.998 ,0   RB
2.5951 ,0 ,0 ,31 ,2 ,0 ,0 ,1.202 ,0 ,3.685 ,0 ,2.924 ,0   RB
2.7719 ,1 ,0 ,31.6 ,2 ,0 ,0 ,1.22 ,0 ,5.294 ,0 ,3.542 ,0   RB
2.852 ,1 ,0 ,32 ,2 ,0 ,0 ,1.243 ,0 ,6.909 ,0 ,6.866 ,0   RB
2.6264 ,0 ,0 ,23.1 ,0 ,0 ,0 ,1.182 ,0 ,1 ,0 ,2.991 ,0   RB
1.1521 ,0 ,0 ,16.7 ,1 ,0 ,0 ,0.93 ,0 ,1 ,0 ,2.279 ,0   RB
2.4062 ,0 ,0 ,27.8 ,2 ,0 ,0 ,1.134 ,0 ,2.488 ,0 ,2.874 ,0   RB
2.3699 ,0 ,0 ,30 ,1 ,0 ,0 ,1.09 ,1 ,1 ,0 ,3.302 ,0   RB
2.2525 ,0 ,0 ,20 ,2 ,0 ,0 ,0.98 ,0 ,1.707 ,0 ,2.817 ,0   RB
2.8042 ,0 ,0 ,23.1 ,2 ,0 ,0 ,1.044 ,0 ,1.542 ,0 ,3.047 ,0   RB
2.9558 ,0 ,0 ,25 ,2 ,0 ,0 ,1.056 ,0 ,1.745 ,0 ,3.083 ,0   RB
2.6294 ,0 ,0 ,37.5 ,1 ,0 ,0 ,1.215 ,0 ,1.707 ,0 ,3.188 ,0   RB
2.8521 ,0 ,0 ,27.3 ,2 ,0 ,0 ,1.117 ,0 ,3.284 ,0 ,2.997 ,0   RB
2.3729 ,0 ,0 ,30 ,1 ,0 ,0 ,1.142 ,0 ,1.707 ,0 ,3.038 ,0   RB
