SpMax_L
J_Dz(e)
nHM
F01[N-N]
F04[C-N]
NssssC
nCb-
C%
nCp
nO
F03[C-N]
SdssC
HyWi_B(m)
LOC
SM6_L
F03[C-O]
Me
Mi
nN-N
nArNO2
nCRX3
SpPosA_B(p)
nCIR
B01[C-Br]
B03[C-Cl]
N-073
SpMax_A
Psi_i_1d
B04[C-Br]
SdO
TI2_L
nCrt
C-026
F02[C-N]
nHDon
SpMax_B(m)
Psi_i_A
nN
SM6_B(m)
nArCOOR
nX
V1
3.919 ,2.6909 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.591 ,0 ,RB
4.17 ,2.1144 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,1.967 ,0 ,RB
3.932 ,3.2512 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,2.417 ,0 ,RB
3 ,2.7098 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,RB
4.236 ,3.3944 ,0 ,4 ,0 ,-0.271 ,0 ,0 ,0 ,2.405 ,0 ,RB
4.236 ,3.4286 ,0 ,4 ,0 ,-0.275 ,0 ,0 ,0 ,2.556 ,0 ,RB
5 ,5.0476 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,4.583 ,0 ,RB
4.525 ,3.8301 ,0 ,2 ,0 ,-0.039 ,0 ,0 ,0 ,2.143 ,0 ,RB
4.91 ,2.7414 ,2 ,2 ,0 ,-0.302 ,3 ,0 ,0 ,2.5 ,0 ,RB
4.214 ,2.6272 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.722 ,0 ,RB
3.879 ,2.5951 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.611 ,0 ,RB
3.942 ,2.7719 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1.739 ,1 ,RB
3.966 ,2.852 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.603 ,1 ,RB
4 ,2.6264 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,RB
2 ,1.1521 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,RB
3.732 ,2.4062 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,2.333 ,0 ,RB
4 ,2.3699 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,2.083 ,0 ,RB
3.414 ,2.2525 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,3.75 ,0 ,RB
4.17 ,2.8042 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,3.367 ,0 ,RB
4.303 ,2.9558 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,3.056 ,0 ,RB
3.414 ,2.6294 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,3.5 ,0 ,RB
3.848 ,2.8521 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,2.375 ,0 ,RB
3.414 ,2.3729 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,3.125 ,0 ,RB
